group,names,scores,logfoldchanges,pvals,pvals_adj
2,SLC16A10,30.187563,2.391545,3.449476196516598e-200,1.305592921987449e-197
2,ITK,30.186932,1.9979438,3.5158358253383236e-200,1.3177898822622459e-197
2,RPS12,29.819164,0.65097356,2.20503844351445e-195,7.7388831045744415e-193
2,MLLT3,29.666353,1.9992015,2.0870585399127535e-193,7.258827206474934e-191
2,RPS25,29.634737,0.5677203,5.334786209862678e-193,1.8226084638757391e-190
2,RGCC,29.625446,1.9981208,7.027582846441763e-193,2.359190116258528e-190
2,TSHZ2,29.471579,2.8384202,6.661879547264844e-191,2.1981924940316798e-188
2,IQGAP2,29.418993,1.8816391,3.13926349370744e-190,1.0270712410005884e-187
2,PCSK5,29.41664,2.5273993,3.36470128145365e-190,1.0915769552252068e-187
2,RPL34,28.823637,0.5618348,1.0846753086149411e-182,3.323410711459398e-180
2,ABLIM1,28.812683,1.6542407,1.4878277160742213e-182,4.522761953288299e-180
2,PDCD4,28.760294,1.2188858,6.734594303552161e-182,2.0312167787729276e-179
2,RPS27A,28.742104,0.5344162,1.1368997013705719e-181,3.402414718690876e-179
2,SMCHD1,28.736042,1.2231302,1.3534659871002195e-181,4.019377530614698e-179
2,JUNB,28.57976,1.0600525,1.199227567169068e-179,3.404219077803606e-177
2,YME1L1,28.53632,1.2694107,4.1526670546290543e-179,1.1702033891314545e-176
2,FUS,28.480259,0.883474,2.057205212537926e-178,5.755106118495592e-176
2,CDC14A,28.442896,1.633456,5.965990431927877e-178,1.657000191474875e-175
2,YES1,28.363632,2.430544,5.683695483760626e-177,1.5673196274718766e-174
2,RPS29,28.332737,0.564041,1.3660895530802457e-176,3.740372573490494e-174
2,ITGA6,28.111814,1.9618946,7.025031472805462e-174,1.883391423882831e-171
2,MGAT4A,28.078308,1.6936338,1.8030507086740073e-173,4.80059142476336e-171
2,YPEL5,27.804802,1.083238,3.7949687343216655e-170,9.899227226839339e-168
2,NFKBIA,27.776684,1.1473348,8.298593105798997e-170,2.1501710432380944e-167
2,SATB1,27.706863,1.663791,5.771836630149441e-169,1.4855168329569953e-166
2,HIVEP2,27.6695,1.2242886,1.6262418818821237e-168,4.1304404007856095e-166
2,SCML4,27.621668,1.8481576,6.112398964436833e-168,1.542322055039532e-165
2,TRABD2A,27.61717,2.0746253,6.921954088027263e-168,1.7352529839115618e-165
2,TRAF1,27.592518,1.8754454,1.3682366230096712e-167,3.4078801979297656e-165
2,RPS26,27.475212,0.51069856,3.4732900920899963e-166,8.595502390719641e-164
2,TNRC6C,27.461117,1.410511,5.118060997292192e-166,1.2585214194997603e-163
2,USP36,27.342806,1.3092221,1.3150516339711298e-164,3.17305521131809e-162
2,NOSIP,27.332304,1.6564088,1.7530248064663276e-164,4.20355749555522e-162
2,BICDL1,27.255573,1.9697875,1.42734686348003e-163,3.360009329970124e-161
2,SLFN11,27.238796,1.9938215,2.2560341880621305e-163,5.278573082686461e-161
2,SLC38A2,27.218346,1.1012871,3.940054409519095e-163,9.10836769664037e-161
2,SCML1,27.183977,1.907933,1.004698159023436e-162,2.3087724480511173e-160
2,NELL2,26.9908,2.2413492,1.8951555201297498e-160,4.3292529000076405e-158
2,NR4A2,26.903748,1.145855,1.985294966124443e-159,4.404844681735646e-157
2,RPL9,26.893616,0.5280152,2.6083346590249117e-159,5.7541353055037566e-157
3,EGR1,39.69581,2.7903783,0.0,0.0
3,HSPA8,38.758358,1.5093538,0.0,0.0
3,IL7R,37.928623,3.8960562,0.0,0.0
3,DNAJB1,37.423794,2.223411,1.6032641981816076e-306,1.5473904408749787e-302
3,RGCC,37.39791,2.9958432,4.2250483222876e-306,3.262244310604702e-302
3,HSP90AA1,37.382816,1.735452,7.432159089751148e-306,4.782098896982214e-302
3,TOB1,33.988464,2.0948997,3.2985407384263926e-253,1.8191923392527044e-249
3,SYTL3,33.937355,2.5375276,1.874287372616935e-252,9.044842288406174e-249
3,TNFAIP3,33.834003,2.3565953,6.239203438573685e-251,2.6763409772175073e-247
3,UBB,33.424862,1.3539357,5.969181459711235e-245,2.0949656312146538e-241
3,NABP1,33.39722,2.1296182,1.5044132531294663e-244,4.8399481708596814e-241
3,FOSB,33.104458,1.4506732,2.563660403576796e-240,7.06947668146327e-237
